"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2016-02-09,5.26896612324714,5.953375071,-27.48220754,113.221342516667,26.1834806816667,0.079487096,0.2905210165,0.2165841725,0.61468016095709,27.85281146,2.21417091,51.78209635,7.7188,27.5861666666667,-3.47026501321837,3,0.662583333333333,200.493979166667,NA,NA,NA,NA,NA
2016-02-16,3.29521982110751,4.044909063,-27.47392985,87.55283185,29.6507745325,0.0566907215,0.1671624405,0.1503068135,0.765469404189264,27.431266605,2.2808693385,49.54780559,7.9057,27.2175,-3.54327192471837,32.2,1.00479166666667,183.2979375,NA,NA,NA,NA,NA
2016-02-23,4.98584550513061,6.517163616,-27.39976026,87.4798443381579,17.9990982767105,0.0896313675,0.183244927,0.132470136,0.647521905225984,26.69651126,2.2001758355,49.89980267,7.9581,27.0212,-3.42123197452025,0.6,1.13666666666667,204.612083333333,1920,14000,1440,3500,480
2016-03-15,4.40001823054224,5.3484585945,-26.463722805,104.621229733333,26.5476574166667,0.1754565435,0.1282909235,0.204303319,1.07503484420529,25.96295281,2.1479478635,50.68949903,8.22195,26.6463,-3.73415413282215,37.2,2.02714893617021,203.303191489362,NA,NA,NA,NA,NA
2016-03-22,5.01518750057164,5.1165517305,-26.916133385,213.559875511111,33.5517587055556,0.4730558595,0.3379274675,0.532846993,0.556010045303942,24.015229905,1.9963859635,49.58785179,8.70705,26.68115,-3.2859347040295,14.4,0.996541666666667,181.828541666667,25744,63452,9880,56888,3548
2016-03-29,5.04546053011249,5.0979163445,-25.29116376,154.826980933333,28.1210591033333,1.08125404,0.103311623,0.185924202,0.378757292817577,23.644672935,1.9917374705,48.60928021,9.04115,27.5038,-3.55623177062528,4,2.5524375,280.585770833333,234374,26250,2810,17500,7531
2016-04-08,4.58613861555147,6.906857075,-20.7946752,346.720691966667,67.3989640066667,NA,NA,NA,NA,0.706975473,0.22823994,3.485374014,10.2417,27.31305,-3.34687476633023,2.4,0.710770833333333,169.511875,411464,36750,3600,0,22674
2016-04-14,4.6975167763506,7.704304354,-19.410577015,652.3496891,108.765061991667,8.088180527,0.01,0.2445248565,0.318094575524836,1.8368588075,0.29879305,5.932707564,10.45155,27.46465,-3.6995479662554,0,2.41741666666667,163.2625,1686400,14000,4000,7000,7300
2016-04-28,4.76359122457249,6.6538601245,-20.51858579,347.757623780263,73.8995954144737,2.5578150795,0.437299949,0.615699643,0.42602714959953,3.5157841835,0.4897626405,9.7281677505,11.36725,27.41395,-3.22850174982538,0,1.44185416666667,213.929166666667,513200,252000,13400,154000,63200
2016-05-09,4.44264265984931,5.2626363105,-22.303080705,527.980604085714,128.986277407143,6.50251568,0.1018911855,0.746208152,0.334754703833823,15.286562095,1.3051641975,35.24533079,10.05255,28.7057,-3.84498588325259,0,4.90966666666667,267.800083333333,6091800,20000,2800,62500,18700
2016-05-19,6.12509712239898,6.9094726845,-19.927149565,296.092521134211,54.5271958131579,0.650059332,0.1041807455,0.1127099625,0.54659889486947,0.279004796,0.005700435,1.593127261,13.76185,27.5774,-3.06769339141026,0,2.299,221.221375,152320,36750,896,7000,13930
2016-05-30,4.67996554060653,6.425596114,-20.77493701,286.243986833333,73.5454764141026,0.4414508425,0.107466769,0.129528925,0.745805708569695,0.2775112965,0.1259156675,0.069949795,14.4541,26.70255,-2.99692392217117,20.6,1.65558333333333,212.4881875,1432406,13998,3120,0,48327
2016-06-09,4.77865315167678,6.971762304,-19.81911901,543.203431125,130.4580230375,NA,NA,NA,NA,0.4556514605,0.177126892,2.908082554,14.45555,26.5301,-2.98048332690477,2.6,1.37958333333333,187.526020833333,NA,NA,NA,NA,NA
2016-07-11,5.14252011806293,6.567939015,-24.727789035,716.483011,132.7446802375,NA,1.1080113325,NA,NA,0.1595760865,0.4146846365,20.201528865,16.76465,25.87025,-2.9577020190152,8.2,1.45314583333333,189.514791666667,144000,39661,8200,95653,24398
