"","SampleID","site_id","Date","Depth","Counts"
"485","QMIC2695","QU39","2018-07-31",5,1452984.668
"486","QMIC2696","QU39","2018-07-31",30,978474.6953
"487","QMIC2704","QU39","2018-08-09",0,2265059.372
"488","QMIC2705","QU39","2018-08-09",5,2433777.264
"489","QMIC2706","QU39","2018-08-09",30,NA
"490","QMIC2724","QU39","2018-08-14",0,3990030.094
"491","QMIC2725","QU39","2018-08-14",5,3281431.032
"492","QMIC2726","QU39","2018-08-14",30,861006.692
"493","QMIC2734","QU39","2018-08-21",0,3810443.921
"494","QMIC2735","QU39","2018-08-21",5,3641302.38
"495","QMIC2736","QU39","2018-08-21",30,854205.4761
"496","QMIC2744","QU39","2018-08-29",0,2464856.228
"497","QMIC2745","QU39","2018-08-29",5,2488564.875
"498","QMIC2746","QU39","2018-08-29",30,1021571.529
"499","QMIC2763","QU39","2018-09-04",0,1193884.967
"500","QMIC2764","QU39","2018-09-04",5,940779.7509
"501","QMIC2765","QU39","2018-09-04",30,782198.0849
"502","QMIC2783","QU39","2018-09-13",0,2666942.18
"503","QMIC2784","QU39","2018-09-13",5,2330416.512
"504","QMIC2785","QU39","2018-09-13",30,NA
"505","QMIC2793","QU39","2018-09-18",0,3357017.632
"506","QMIC2794","QU39","2018-09-18",5,2507621.314
"507","QMIC2795","QU39","2018-09-18",30,901613.0932
"508","QMIC2803","QU39","2018-09-25",0,2361792.176
"509","QMIC2804","QU39","2018-09-25",5,1859049.243
"510","QMIC2805","QU39","2018-09-25",30,687969.7243
"511","QMIC2813","QU39","2018-10-04",0,974511.4109
"512","QMIC2814","QU39","2018-10-04",5,934444.9363
"513","QMIC2815","QU39","2018-10-04",30,661924.0833
"514","QMIC2823","QU39","2018-10-09",0,2183539.563
"515","QMIC2824","QU39","2018-10-09",5,1737763.799
"516","QMIC2825","QU39","2018-10-09",30,627954.8675
"517","QMIC2843","QU39","2018-10-16",0,1958362.584
"518","QMIC2844","QU39","2018-10-16",5,2292426.238
"519","QMIC2845","QU39","2018-10-16",30,665747.0027
"520","QMIC2853","QU39","2018-10-24",0,1585358.798
"521","QMIC2854","QU39","2018-10-24",5,1295265.741
"522","QMIC2855","QU39","2018-10-24",30,726007.7932
"523","QMIC2863","QU39","2018-10-30",0,1097283.478
"524","QMIC2864","QU39","2018-10-30",5,1046216.749
"525","QMIC2865","QU39","2018-10-30",30,1005002.821
"526","QMIC2883","QU39","2018-11-07",0,1191088.563
"527","QMIC2884","QU39","2018-11-07",5,1128471.197
"528","QMIC2885","QU39","2018-11-07",30,633277.8532
"529","QMIC2893","QU39","2018-11-16",0,1166905.257
"530","QMIC2894","QU39","2018-11-16",5,1109438.531
"531","QMIC2895","QU39","2018-11-16",30,NA
"532","QMIC2903","QU39","2018-11-19",0,1416084.583
"533","QMIC2904","QU39","2018-11-19",5,1327257.647
"534","QMIC2905","QU39","2018-11-19",30,542890.369
"535","QMIC2913","QU39","2018-11-28",0,693526.3972
"536","QMIC2914","QU39","2018-11-28",5,618035.0407
"537","QMIC2915","QU39","2018-11-28",30,610808.1001
"538","QMIC2923","QU39","2018-12-04",0,NA
"539","QMIC2924","QU39","2018-12-04",5,NA
"540","QMIC2925","QU39","2018-12-04",30,NA
"541","QMIC2948","QU39","2019-01-23",0,NA
"542","QMIC2949","QU39","2019-01-23",5,NA
"543","QMIC2950","QU39","2019-01-23",30,NA
